,eval_step,eval/loss,eval/ppl,eval/seq_len
0,100,1.4421062394976616,4.325214445590973,1024.0
1,200,1.4227516129612923,4.241561107337475,1024.0
2,300,1.4051612857729197,4.167525619268417,1024.0
3,400,1.3944642581045628,4.121768243610859,1024.0
4,500,1.3880061227828264,4.094662606716156,1024.0
5,600,1.3824444692581892,4.071365863084793,1024.0
6,700,1.372497882694006,4.031135760247707,1024.0
7,800,1.371258582919836,4.027824729681015,1024.0
8,900,1.3693831097334623,4.021021068096161,1024.0
9,1000,1.3611855655908585,3.9862964674830437,1024.0
10,1100,1.3571710735559464,3.9686753377318382,1024.0
11,1200,1.3535948637872934,3.954546868801117,1024.0
12,1300,1.3510307595133781,3.944947823882103,1024.0
13,1400,1.3518792446702719,3.9468178525567055,1024.0
14,1500,7.149160251021385,1299.1954803466797,1024.0
15,1600,2.3752676248550415,10.986730739474297,1024.0
16,1700,2.0493886955082417,8.43315739929676,1024.0
17,1800,2.192203748971224,9.13813929259777,1024.0
